,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Specialist Enchants,,,,,,,,,Protection,,,,,,Health,,,,,,Speed,,,,Armor Attribrutes,,,,,,,,,Weapon Base Stats,,,,,,Durability,,,,Melee Enchants,,,,,,,,,,,,,,Ranged Enchants,,,,,,,,,,,Tool Enchants,,,,,,,,,Water,,,,,,Misc.,,,,,,,,,,,,,Curses,,,,Epic Enchants,,,,,Indexing,,,,,Stored Values,
,Ironwrought Adze,Isles,Tier 3,Pickaxe,Iron Pickaxe,Celsian Isles,,,,,,,,"4.0 Attack Damage
1.2 Attack Speed",Unbreaking 2,,,Efficiency 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,20,,,,4,20
,Ishnir Sharpshooter,Isles,Tier 3,Crossbow,Crossbow,Celsian Isles,,,,,,,,"14.0 Proj Damage
1.0 Proj Speed",Unbreaking 1,,Piercing 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,1.0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,20,,,,4,20
,Juggernaut's Chestplate,Isles,Tier 3,Chestplate,Golden Chestplate,Celsian Isles,5,,,Melee Prot. 2,,,,,Unbreaking 3,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,20,,,,4,20
,Juggernaut's Greaves,Isles,Tier 3,Leggings,Golden Leggings,Celsian Isles,5,,,Melee Prot. 2,,,,,Unbreaking 3,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,20,,,,4,20
,Juggernaut's Helm,Isles,Tier 3,Helmet,Golden Helmet,Celsian Isles,5,,,Melee Prot. 2,,,,,Unbreaking 3,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,20,,,,4,20
,Juggernaut's Sabatons,Isles,Tier 3,Boots,Golden Boots,Celsian Isles,5,,,Melee Prot. 2,,,,,Unbreaking 3,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,20,,,,4,20
,Lifeflame Boots,Isles,Tier 3,Boots,Leather Boots,Celsian Isles,,,,Fire Prot. 6,+6 Max Health,,,,Unbreaking 5,,,,,,,,,,,,,,,,,,,,,,,6,,+6,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,20,30,,,4,20
,Lifeflame Cap,Isles,Tier 3,Helmet,Leather Helmet,Celsian Isles,,,,Fire Prot. 6,+6 Max Health,,,,Unbreaking 5,,,,,,,,,,,,,,,,,,,,,,,6,,+6,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,20,30,,,4,20
,Lifeflame Leggings,Isles,Tier 3,Leggings,Leather Leggings,Celsian Isles,,,,Fire Prot. 6,+6 Max Health,,,,Unbreaking 5,,,,,,,,,,,,,,,,,,,,,,,6,,+6,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,20,30,,,4,20
,Lifeflame Tunic,Isles,Tier 3,Chestplate,Leather Chestplate,Celsian Isles,,,,Fire Prot. 6,+6 Max Health,,,,Unbreaking 5,,,,,,,,,,,,,,,,,,,,,,,6,,+6,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,20,30,,,4,20
,Logfeller,Isles,Tier 3,Axe,Iron Axe,Celsian Isles,,,,,,,,"12.0 Attack Damage
0.9 Attack Speed",,Knockback 1,,Efficiency 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,0.9,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,20,,,,4,20
,Ranger's Gale,Isles,Tier 3,Bow,Bow,Celsian Isles,,,,,,+10% Speed,,"14.0 Proj Damage
1.0 Proj Speed",Unbreaking 2,,Punch 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+10%,,,,,,,,,,,,,,,14.0,1.0,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,20,,+10%,,4,20
,Rhinoceros Boots,Isles,Tier 3,Boots,Golden Boots,Celsian Isles,5,,,,,,"+10% Attack Damage
+10% Attack Speed",,Unbreaking 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+10%,,+10%,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,20,,,+10%,4,20
,Rhinoceros Breastplate,Isles,Tier 3,Chestplate,Golden Chestplate,Celsian Isles,5,,,,,,"+10% Attack Damage
+10% Attack Speed",,Unbreaking 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+10%,,+10%,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,20,,,+10%,4,20
,Rhinoceros Greaves,Isles,Tier 3,Leggings,Golden Leggings,Celsian Isles,5,,,,,,"+10% Attack Damage
+10% Attack Speed",,Unbreaking 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+10%,,+10%,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,20,,,+10%,4,20
,Rhinoceros Helmet,Isles,Tier 3,Helmet,Golden Helmet,Celsian Isles,5,,,,,,"+10% Attack Damage
+10% Attack Speed",,Unbreaking 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+10%,,+10%,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,20,,,+10%,4,20
,Rusted Sickle,Isles,Tier 3,Scythe,Iron Hoe,Celsian Isles,,,,,,,,"9.5 Attack Damage
1.2 Attack Speed",Unbreaking 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,1.2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,20,,,,4,20
,Salburic Shiv,Isles,Tier 3,Offhand Sword,Stone Sword,Celsian Isles,,,,,+6 Max Health,,+15% Attack Damage,,Unbreakable,,,,,,,,,,,,,,,,,,,,,,,,,+6,,,,,,,,,,+15%,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,20,30,,,4,20
,Steadfast Chisel,Isles,Tier 3,Pickaxe,Stone Pickaxe,Celsian Isles,,,,,,,,"3.0 Attack Damage
1.2 Attack Speed",,,,Efficiency 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,20,,,,4,20
,Steel Bracer,Isles,Tier 3,Offhand Sword,Iron Sword,Celsian Isles,6,,,Projectile Prot. 1,,,,,Unbreakable,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,20,,,,4,20
,Steelguard,Isles,Tier 3,Offhand Shield,Shield,Celsian Isles,4,,,Projectile Prot. 2,,,,,Unbreaking 3,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,20,,,,4,20
,Steelscale Maul,Isles,Tier 3,Axe,Iron Axe,Celsian Isles,,,,,,,,"13.0 Attack Damage
0.9 Attack Speed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,20,,,,4,20
,Storm Dagger,Isles,Tier 3,Mainhand Sword,Iron Sword,Celsian Isles,,,,,,,,"8.0 Attack Damage
1.6 Attack Speed",Unbreaking 1,"Thunder Aspect 2
Knockback 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.6,,,,1,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,20,,,,4,20
,Viridian Hunter,Isles,Tier 3,Bow,Bow,Celsian Isles,,,,,,,,"12.0 Proj Damage
1.0 Proj Speed",,,Sniper 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1.0,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,20,,,,4,20
,Windwrought Shield,Isles,Tier 3,Offhand Shield,Shield,Celsian Isles,,3,,,,+15% Speed,+10% Attack Damage,,Unbreaking 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+15%,,,+10%,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,20,,+15%,,4,20
,Acinaces,Isles,Tier 2,Offhand Sword,Stone Sword,Celsian Isles,2.5,,,,,-5% Speed,+30% Attack Damage,,Unbreakable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5%,,,+30%,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,-5%,,3,20
,Alderwood Aegis,Isles,Tier 2,Offhand Shield,Shield,Celsian Isles,2,2,,,,,+2.0 Knockback Res.,,Unbreaking 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+2.0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,,,3,20
,Arrow's Guide,Isles,Tier 2,Bow,Bow,Celsian Isles,,,,,,,,"16.0 Proj Damage
1.0 Proj Speed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,,,3,20
,Basaltic Battleaxe,Isles,Tier 2,Axe,Stone Axe,Celsian Isles,,,,,,,,"11.0 Attack Damage
0.8 Attack Speed",Unbreaking 4,"Fire Aspect 2
Knockback 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0.8,,,,4,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,,,3,20
,Biding Saber,Isles,Tier 2,Mainhand Sword,Stone Sword,Celsian Isles,,,,,,,,"7.0 Attack Damage
1.6 Attack Speed",Unbreaking 2,"Fire Aspect 3
Knockback 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.6,,,,2,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,,,3,20
,Bolstering Pavise,Isles,Tier 2,Offhand Shield,Shield,Celsian Isles,,1.5,,,,,+20% Attack Damage,,Unbreaking 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+20%,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,,,3,20
,Fencer's Foil,Isles,Tier 2,Offhand Sword,Stone Sword,Celsian Isles,,,,Melee Prot. 5,,,+5% Attack Damage,,Unbreakable,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,+5%,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,,,3,20
,Frozen Maul,Isles,Tier 2,Axe,Iron Axe,Celsian Isles,,,,,,-10% Speed,,"12.0 Attack Damage
0.9 Attack Speed",,Ice Aspect 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10%,,,,,,,,,,,,,12.0,0.9,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,-10%,,3,20
,General's Sidearm,Isles,Tier 2,Crossbow,Crossbow,Celsian Isles,,,,,,,,"15.0 Proj Damage
1.0 Proj Speed",Unbreaking 2,,Quick Charge 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,1.0,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,,,3,20
,Glowblossom,Isles,Tier 2,Wand,Blue Orchid,Celsian Isles,,,,,,,,"+40% Spell Power
4.0 Attack Damage
4.0 Attack Speed",,"Smite 1
Thunder Aspect 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+40%,4.0,4.0,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,,,3,20
,Graceful Broadsword,Isles,Tier 2,Mainhand Sword,Stone Sword,Celsian Isles,,,,,,,,"6.5 Attack Damage
1.6 Attack Speed",Unbreaking 1,"Ice Aspect 1
Sweeping Edge 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,1.6,,,,1,,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,,,3,20
,Ignition Wand,Isles,Tier 2,Wand,Blaze Rod,Celsian Isles,,,,,,,,"+45% Spell Power
4.5 Attack Damage
4.0 Attack Speed",,"Fire Aspect 1
Knockback 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+45%,4.5,4.0,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,,,3,20
,Incendiary Boots,Isles,Tier 2,Boots,Leather Boots,Celsian Isles,,4,,Fire Prot. 2,,,+10% Attack Damage,,Unbreaking 4,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,+10%,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,,,3,20
,Incendiary Cloak,Isles,Tier 2,Chestplate,Leather Chestplate,Celsian Isles,,4,,Fire Prot. 2,,,+10% Attack Damage,,Unbreaking 4,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,+10%,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,,,3,20
,Incendiary Hood,Isles,Tier 2,Helmet,Leather Helmet,Celsian Isles,,4,,Fire Prot. 2,,,+10% Attack Damage,,Unbreaking 4,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,+10%,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,,,3,20
,Incendiary Pants,Isles,Tier 2,Leggings,Leather Leggings,Celsian Isles,,4,,Fire Prot. 2,,,+10% Attack Damage,,Unbreaking 4,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,+10%,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,,,3,20
,Ironcast Tomahawk,Isles,Tier 2,Axe,Iron Axe,Celsian Isles,,,,,,,,"12.0 Attack Damage
0.9 Attack Speed",Unbreaking 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,0.9,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,,,3,20
,Keen Shortsword,Isles,Tier 2,Mainhand Sword,Iron Sword,Celsian Isles,,,,,,,,"8.0 Attack Damage
1.6 Attack Speed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,,,3,20
,Olivian Mage Hat,Isles,Tier 2,Helmet,Leather Helmet,Celsian Isles,,5,,Magic Prot. 1,,+5% Speed,,,Unbreaking 3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,+5%,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,+5%,,3,20
,Olivian Mage Robes (boots),Isles,Tier 2,Boots,Leather Boots,Celsian Isles,,5,,Magic Prot. 1,,+5% Speed,,,Unbreaking 3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,+5%,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,+5%,,3,20
,Olivian Mage Robes (chestplate),Isles,Tier 2,Chestplate,Leather Chestplate,Celsian Isles,,5,,Magic Prot. 1,,+5% Speed,,,Unbreaking 3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,+5%,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,+5%,,3,20
,Olivian Mage Robes (leggings),Isles,Tier 2,Leggings,Leather Leggings,Celsian Isles,,5,,Magic Prot. 1,,+5% Speed,,,Unbreaking 3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,+5%,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,+5%,,3,20
,Patinated Cuirass,Isles,Tier 2,Chestplate,Golden Chestplate,Celsian Isles,5,,,Blast Prot. 2,,,+1.5 Knockback Res.,,Unbreaking 3,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,+1.5,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,,,3,20
,Patinated Greaves,Isles,Tier 2,Leggings,Golden Leggings,Celsian Isles,5,,,Blast Prot. 2,,,+1.5 Knockback Res.,,Unbreaking 3,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,+1.5,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,,,3,20
,Patinated Helm,Isles,Tier 2,Helmet,Golden Helmet,Celsian Isles,5,,,Blast Prot. 2,,,+1.5 Knockback Res.,,Unbreaking 3,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,+1.5,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,,,3,20
,Patinated Sabatons,Isles,Tier 2,Boots,Golden Boots,Celsian Isles,5,,,Blast Prot. 2,,,+1.5 Knockback Res.,,Unbreaking 3,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,+1.5,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,,,3,20
,Phalanx's Greaves,Isles,Tier 2,Leggings,Golden Leggings,Celsian Isles,3.5,,,"Melee Prot. 2
Projectile Prot. 1",,,,,Unbreaking 2,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,,,3,20
,Phalanx's Plate,Isles,Tier 2,Chestplate,Golden Chestplate,Celsian Isles,3.5,,,"Melee Prot. 2
Projectile Prot. 1",,,,,Unbreaking 2,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,,,3,20
,Phalanx's Sabatons,Isles,Tier 2,Boots,Golden Boots,Celsian Isles,3.5,,,"Melee Prot. 2
Projectile Prot. 1",,,,,Unbreaking 2,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,,,3,20
,Phalanx's Sallet,Isles,Tier 2,Helmet,Golden Helmet,Celsian Isles,3.5,,,"Melee Prot. 2
Projectile Prot. 1",,,,,Unbreaking 2,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,,,3,20
,Prismarine Pike,Isles,Tier 2,Trident,Trident,Celsian Isles,,,,,,,,"9.0 Attack Damage
1.1 Attack Speed
16.0 Proj Damage
0.8 Proj Speed
0.8 Throw Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1.1,16.0,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,,,3,20
,Raider's Scythe,Isles,Tier 2,Scythe,Iron Hoe,Celsian Isles,,,,,,,,"5.5 Attack Damage
2.0 Attack Speed",Unbreaking 1,Duelist 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,2.0,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,,,3,20
,Reinforced Chisel,Isles,Tier 2,Pickaxe,Stone Pickaxe,Celsian Isles,,,,,,,,"3.0 Attack Damage
1.2 Attack Speed",Unbreaking 3,,,Efficiency 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,,,3,20
,Runeset Adze,Isles,Tier 2,Pickaxe,Stone Pickaxe,Celsian Isles,,,,,,,,"3.0 Attack Damage
1.2 Attack Speed",,,,"Efficiency 2
Sapper 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,,,3,20
,Seared Bow,Isles,Tier 2,Bow,Bow,Celsian Isles,,,,,,,,"14.0 Proj Damage
1.0 Proj Speed",Unbreaking 2,,Fire Aspect 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,1.0,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,,,3,20
,Seawater Razor,Isles,Tier 2,Scythe,Iron Hoe,Celsian Isles,,,,,,,,"5.5 Attack Damage
2.0 Attack Speed",,,,,Abyssal 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,,,3,20
,Slayer's Maul,Isles,Tier 2,Axe,Stone Axe,Celsian Isles,,,,,,,,"10.0 Attack Damage
0.8 Attack Speed",Unbreaking 5,"Slayer 3
Knockback 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.8,,,,5,,,,,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,,,3,20
,Stalwart Boots,Isles,Tier 2,Boots,Golden Boots,Celsian Isles,6,,,Projectile Prot. 1,,-5% Speed,,,Unbreaking 2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,-5%,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,-5%,,3,20
